from,to,album title,primary genre,secondary genre,year of publishing,first grammy category,second_grammy_category,grammy year,number of grammys per album,number of grammy nominations per album
jq,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
jq,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
la,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
la,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
la,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
la,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
la,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
cim,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
cim,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
cim,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
cim,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
cim,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
cim,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tp,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tp,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tp,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tp,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tp,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tp,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tp,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
